OBJECTID,Id,Tipo,Eje_X,Eje_Y,RASTERVALU
193,2996,Borde_Area_Estudio,727530.7057,4360856.5533,
194,2997,Borde_Area_Estudio,727540.7057,4360856.5533,
195,2998,Catarroja,727550.7057,4360856.5533,
196,2999,Catarroja,727560.7057,4360856.5533,
197,3000,Catarroja,727570.7057,4360856.5533,
198,3001,Catarroja,727580.7057,4360856.5533,
199,3002,Catarroja,727590.7057,4360856.5533,
200,3153,Borde_Area_Estudio,727400.7057,4360866.5533,
201,3154,Borde_Area_Estudio,727410.7057,4360866.5533,
202,3155,Borde_Area_Estudio,727420.7057,4360866.5533,
203,3156,Borde_Area_Estudio,727430.7057,4360866.5533,
204,3157,Borde_Area_Estudio,727440.7057,4360866.5533,
205,3158,Borde_Area_Estudio,727450.7057,4360866.5533,
206,3159,Borde_Area_Estudio,727460.7057,4360866.5533,
207,3160,Borde_Area_Estudio,727470.7057,4360866.5533,
208,3161,Borde_Area_Estudio,727480.7057,4360866.5533,
209,3162,Borde_Area_Estudio,727490.7057,4360866.5533,
210,3163,Borde_Area_Estudio,727500.7057,4360866.5533,
211,3164,Borde_Area_Estudio,727510.7057,4360866.5533,
212,3165,Borde_Area_Estudio,727520.7057,4360866.5533,
213,3166,Borde_Area_Estudio,727530.7057,4360866.5533,
214,3167,Catarroja,727540.7057,4360866.5533,
215,3168,Catarroja,727550.7057,4360866.5533,
216,3169,Catarroja,727560.7057,4360866.5533,
217,3170,Catarroja,727570.7057,4360866.5533,
218,3171,Catarroja,727580.7057,4360866.5533,
219,3172,Catarroja,727590.7057,4360866.5533,
220,3327,Borde_Area_Estudio,727390.7057,4360876.5533,
221,3328,Borde_Area_Estudio,727400.7057,4360876.5533,
222,3329,Borde_Area_Estudio,727410.7057,4360876.5533,
223,3330,Borde_Area_Estudio,727420.7057,4360876.5533,
224,3331,Borde_Area_Estudio,727430.7057,4360876.5533,
225,3332,Borde_Area_Estudio,727440.7057,4360876.5533,
226,3333,Borde_Area_Estudio,727450.7057,4360876.5533,
227,3334,Borde_Area_Estudio,727460.7057,4360876.5533,
228,3335,Borde_Area_Estudio,727470.7057,4360876.5533,
229,3336,Borde_Area_Estudio,727480.7057,4360876.5533,
230,3337,Borde_Area_Estudio,727490.7057,4360876.5533,
231,3338,Borde_Area_Estudio,727500.7057,4360876.5533,
232,3339,Borde_Area_Estudio,727510.7057,4360876.5533,
233,3340,Borde_Area_Estudio,727520.7057,4360876.5533,
234,3341,Catarroja,727530.7057,4360876.5533,
235,3342,Catarroja,727540.7057,4360876.5533,
236,3343,Catarroja,727550.7057,4360876.5533,
237,3344,Catarroja,727560.7057,4360876.5533,
238,3345,Catarroja,727570.7057,4360876.5533,1.6
