POINT_X,POINT_Y,PLA,A,AC,CIB,CICCB,DBB,DOB,P,CUS_1,CUS_2,CUS_3,CUS_4,CUS_5,OC_1,OC_2,OC_3,OC_4
722404.217624,4365898.67207,0.0,0.6096624519607393,1.0,0.20344629617971582,0.39371197501798905,0.6133881365364994,0.7786438318439958,0.017569687249358402,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722411.955422,4365898.67948,0.00029573828054794954,0.6096624519607393,1.0,0.20080559421601163,0.3918971501654044,0.6090479540271229,0.772696571957664,0.017569687249358402,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722419.693297,4365898.6869,0.0008757071008764635,0.6094621074394476,1.0,0.04917913127781001,0.39004784648901536,0.6032612947856386,0.766763536853244,0.008634805827956069,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722427.431095,4365898.69432,0.001460196088241902,0.6102300523139416,1.0,0.04917913127781001,0.38816522321920915,0.5974753878572071,0.766763536853244,0.004421889081255773,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722435.168894,4365898.70175,0.0020504400498414306,0.609195023864844,1.0,0.04865406110238327,0.38624924723511755,0.5916894809287756,0.7608518389216922,0.005371627155983546,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722442.906773,4365898.70911,0.0027641977463199272,0.6091282211308542,1.0,0.04812545510085939,0.3842999516576088,0.5859035297466351,0.7549542790355772,0.015881201901109653,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722450.644573,4365898.71656,0.0034372689219643103,0.6091282211308542,1.0,0.04759214049923571,0.38231505114677655,0.5801183308775475,0.7490780563223302,0.015881201901109653,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722458.382451,4365898.72401,0.004119994774605008,0.6094287379127916,1.0,0.0470564978536967,0.3802968641633953,0.5743331320084599,0.743223170781951,0.027675087709932426,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722466.120252,4365898.73147,0.004813614225790693,0.609195023864844,1.0,0.046517319382060524,0.37824416523534143,0.5685486854524251,0.7373967348053959,0.038787995436391984,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722473.858054,4365898.73894,0.005341384369116108,0.6088945070829065,1.0,0.04597343231032469,0.37615705372521957,0.5642099633154454,0.7315986616561897,0.05267400096716729,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
