POINT_X,POINT_Y,PLA_Real,PLA_Predicho
722812.590787,4368079.82427,5.082873549013558,5.082556789125435
721861.649233,4367277.57616,6.099060620237331,6.084583007953326
721799.69104,4367377.69143,5.752424939018537,5.853680231126018
723463.139509,4367232.94486,2.9224101704568564,3.048193994981718
722000.287634,4368163.78358,1.7297873379577342,1.776264518010901
722535.227703,4366607.79994,2.340919793651519,2.3526773726493455
723355.286839,4366701.11973,6.923002654735523,6.816541582335267
723456.064229,4366477.74773,4.736915350463993,4.777959011789831
723123.52587,4366277.02261,3.8524630722906528,3.853128074813489
722063.306523,4366545.70318,0.9565967766870637,0.9428227605452719
721954.322016,4367516.52647,7.326050598145874,7.322410791920651
723154.475837,4366277.05518,3.932046318971041,4.058168215426868
723084.124919,4367140.06805,3.7958576832961697,3.8007396932363497
723044.648723,4368095.47563,4.494808974256446,4.573126899520414
723455.443548,4367186.70239,2.357533507637437,2.4816987044956447
722727.851955,4367632.84902,3.458387061491903,3.3735315288804553
722171.583154,4366607.45277,1.8629553857976062,1.7356822174776887
723176.273442,4367956.92876,5.333467117251656,5.354031700879666
721984.864938,4368094.42745,24.06684048153102,22.419663082742346
723339.067463,4367564.14429,2.995942431241204,3.1850290783871644
723477.792977,4368157.58375,4.653459180426932,4.328429710708886
722186.595735,4367254.75805,6.411842942591137,6.78800239060285
722031.979154,4367092.79677,6.178837763150136,6.200177902469523
723478.972147,4366824.55258,4.16163099959768,4.167351673259215
722535.105357,4366769.62818,4.638388364933304,4.892940952225986
722187.008108,4366676.82235,2.5206146659049207,2.589970261037374
722983.378365,4367348.01371,3.8033446169848784,3.7692037738698856
721884.549473,4367732.20722,6.3117670954895795,6.333224001120653
722651.355872,4366515.4395,4.986444028282773,4.6434277784115325
722317.843859,4367624.73957,7.127511628161611,7.410356953918627
723029.27348,4367979.88709,5.123665623052969,5.126407803597678
723115.475548,4366654.62644,3.3881304544197213,3.399856177112944
722721.068824,4366415.32649,3.6217165531284867,3.613681265121187
722280.113767,4366314.71456,0.994103579145636,0.9959613576174418
723602.238543,4367410.32759,3.099297394487652,3.060465477861989
723238.463603,4367602.56162,4.406770466869497,4.365047224640187
721977.822852,4367092.74729,7.177856169365641,6.974524616576524
722628.197305,4366446.05963,1.9566416980258838,2.1888370713910423
